WORD,POS_TAG,COUNT
이,VCP,817641
이,JKS,710741
가,JKS,468599
고,EC,463743
에,JKB,511497
거,NNB,572803
어,EF,285073
도,JX,517163
는,ETM,610583
하,VV,380835
는,JX,363081
을,JKO,430917
ㄴ,ETM,515643
았,EP,310102
었,EP,299430
아,EF,218519
있,VA,325323
아,EC,336243
ㄹ,ETM,306632
게,EC,280154
를,JKO,270248
어요,EF,100986
나,NP,221309
되,VV,228501
어,EC,256991
은,JX,276357
면,EC,232054
야,EF,234201
가,VV,114302
그렇,VA,264954
는데,EC,169516
들,XSN,205040
안,MAG,125830
지,EF,232689
아서,EC,148225
먹,VV,112036
같,VA,168814
좋,VA,170808
지,EC,223057
다,EF,189583
의,JKG,218199
것,NNB,164277
ㄴ,JX,246046
하,VX,186911
보,VX,144927
겠,EP,193651
은,ETM,168251
우리,NP,63232
에서,JKB,144069
보,VV,97327
아요,EF,56380
어서,EC,115812
요,JX,147091
잖아,EF,91056
그거,NP,143264
주,VX,84034
수,NNB,130829
없,VA,115300
으로,JKB,111774
때,NNG,97517
아니,VCN,147639
니까,EC,77253
기,ETN,100458
내,NP,58463
사람,NNG,104342
을,ETM,93489
시,EP,91837
그,MMD,85852
로,JKB,95405
오,VV,42837
그런,MMD,102391
만,JX,93871
있,VX,83953
다,MAG,62976
그러,VV,68226
않,VX,121686
아야,EC,73814
잘,MAG,70346
많이,MAG,64440
으면,EC,63299
엄마,NNG,16030
너무,MAG,68137
네,EF,125408
너,NP,70139
그래서,MAJ,64494
더라고,EF,64509
좀,MAG,82493
뭐,NP,95978
싶,VX,56269
알,VV,86206
많,VA,77509
ㄴ데,EC,82729
근데,MAJ,66352
더,MAG,60872
ㄹ,JKO,79091
또,MAG,36393
어야,EC,54311
집,NNG,41113
맞,VV,85336
에요,EF,25978
이거,NP,29459
라고,EC,62671
이제,MAG,11602
쓰,VV,58679
뭐,IC,33064
이,JKC,70632
나,VV,32819
거든,EF,45512
다고,EC,58050
어떻,VA,60981
한,MMN,44273
왜,MAG,57483
한테,JKB,27641
이렇,VA,31161
모르,VV,50358
ㄹ까,EF,58444
나오,VV,36197
사,VV,38377
아빠,NNG,4965
만들,VV,40399
못,MAG,21233
그럼,MAJ,72940
어도,EC,52760
생각,NNG,41481
그냥,MAG,36401
대,EF,46708
적,XSN,66617
요즘,NNG,64523
다,EC,30819
저,NP,38164
ㄴ가,EF,60410
살,VV,34174
까지,JX,46215
같이,MAG,25368
들,VV,37354
ㄴ다,EF,48280
지,VX,52313
정말,MAG,59330
아도,EC,39509
좋아하,VV,28502
진짜,MAG,39548
면서,EC,37388
거기,NP,24688
더라,EF,60830
지만,EC,45340
랑,JKB,16398
던,ETM,40717
크,VA,25958
자,EF,10155
어디,NP,31490
ㅂ니다,EF,64097
주,VV,21944
타,VV,13680
시간,NNG,36902
생각하,VV,38120
동생,NNG,1534
그러니까,MAJ,36051
나,EF,41214
말,NNG,32222
애,NNG,23264
친구,NNG,23454
일,NNG,49835
이,MMD,29737
이런,MMD,32495
으니까,EC,25329
ㄴ다고,EC,31067
보다,JKB,38040
아,IC,39713
그런데,MAJ,35413
하나,NR,31832
받,VV,30406
응,IC,60467
은데,EC,28077
그래,IC,52571
맛있,VA,18482
번,NNB,18644
여기,NP,12322
때문,NNB,31988
할머니,NNG,2369
습니다,EF,50870
아프,VA,11286
데,NNB,26566
넣,VV,21237
ㄹ게,EF,15860
죠,EF,37606
그리고,MAJ,24722
다니,VV,16490
다가,EC,19864
지금,MAG,17830
엄청,MAG,19174
정도,NNG,32720
ㄴ대,EF,17107
라,EC,32657
차,NNG,12289
놀,VV,5571
괜찮,VA,25829
힘들,VA,23222
자기,NP,21951
어떤,MMD,34090
니,EC,42645
구나,EF,40466
부터,JX,27871
라는,ETM,33042
가,JKC,29406
해보,VV,22787
보이,VV,21016
전,NNG,28275
듣,VV,27406
다른,MMD,23667
가지,VX,1382
무슨,MMD,27144
돈,NNG,21032
선생님,NNG,49439
다는,ETM,30846
책,NNG,11328
자,VV,15219
래,EF,20839
말하,VV,28031
말,VX,18179
눈,NNG,17072
말이,NNG,46055
학교,NNG,6182
제일,MAG,15917
서,JKB,15005
랑,JC,8703
생기,VV,20586
싫,VA,8665
년,NNB,21815
한번,MAG,16295
들어가,VV,14278
음식,NNG,24567
몇,NR,16626
러,EC,7657
을까,EF,23337
두,MMN,15251
다음,NNG,19047
물,NNG,12980
그러면,MAJ,7790
막,MAG,9694
얘기,NNG,18994
아니,IC,24496
밥,NNG,14023
려고,EC,17952
할아버지,NNG,1603
네,XSN,2927
아직,MAG,17549
운동,NNG,14559
나가,VV,12488
그것,NP,23364
씩,XSN,12512
소리,NNG,11523
처럼,JKB,16326
그때,NNG,13333
참,MAG,17602
처음,NNG,19556
꼭,MAG,16960
지금,NNG,13445
읽,VV,8951
오늘,MAG,12607
놓,VX,14261
았었,EP,8435
곳,NNG,21974
다시,MAG,15207
이번,NNG,14779
쉽,VA,28580
마음,NNG,20623
